year,state_abbreviation,stage,special,candidate_name,party_detailed,party_simplified,writein,total_votes,votes,percent_votes,won
1976,AZ,gen,0,ALLAN NORWITZ,LIBERTARIAN,LIBERTARIAN,0,741210,7310,0.9862252263191268,0
1976,AZ,gen,0,BOB FIELD,INDEPENDENT,OTHER,0,741210,10765,1.4523549331498495,0
1976,AZ,gen,0,DENNIS DECONCINI,DEMOCRAT,DEMOCRAT,0,741210,400334,54.010874111250516,1
1976,AZ,gen,0,SAM STEIGER,REPUBLICAN,REPUBLICAN,0,741210,321236,43.33940448725732,0
1976,AZ,gen,0,WM. MATHEWS FEIGHAN,INDEPENDENT,OTHER,0,741210,1565,0.2111412420231783,0
1976,CA,gen,0,DAVID WALD,PEACE AND FREEDOM,OTHER,0,7470586,104383,1.3972531739812646,0
1976,CA,gen,0,JACK MCCOY,AMERICAN INDEPENDENT,OTHER,0,7470586,82739,1.1075302526468471,0
1976,CA,gen,0,JOHN V. TUNNEY,DEMOCRAT,DEMOCRAT,0,7470586,3502862,46.88871796670301,0
1976,CA,gen,0,OMARI MUSA,INDEPENDENT,OTHER,0,7470586,31629,0.423380441641392,0
1976,CA,gen,0,S. I. (SAM) HAYAKAWA,REPUBLICAN,REPUBLICAN,0,7470586,3748973,50.18311816502749,1
1976,CT,gen,0,GLORIA SCHAFFER,DEMOCRAT,DEMOCRAT,0,1361666,561018,41.200852485117494,0
1976,CT,gen,0,"LOWELL P. WEICKER, JR.",REPUBLICAN,REPUBLICAN,0,1361666,785683,57.70012616897242,1
1976,CT,gen,0,ROBERT BARNABEI,AMERICAN INDEPENDENT,OTHER,0,1361666,14407,1.0580421336803592,0
1976,DE,gen,0,DONALD G. GIES,AMERICAN,OTHER,0,224795,646,0.28737293978958606,0
1976,DE,gen,0,JOHN A. MASSIMILLA,PROHIBITION,OTHER,0,224795,216,0.09608754643119287,0
1976,DE,gen,0,JOSEPH F. MCINERNEY,NONE,OTHER,0,224795,437,0.19439934162236705,0
1976,DE,gen,0,THOMAS C. MALONEY,DEMOCRAT,DEMOCRAT,0,224795,98042,43.61395938521764,0
1976,DE,gen,0,"WILLIAM V. ROTH, JR.",REPUBLICAN,REPUBLICAN,0,224795,125454,55.80818078693921,1
1976,FL,gen,0,JOHN GRADY,REPUBLICAN,REPUBLICAN,0,2857534,1057886,37.020941833063056,0
1976,FL,gen,0,LAWTON CHILES,DEMOCRAT,DEMOCRAT,0,2857534,1799518,62.974508789746686,1
1976,HI,gen,0,ANTHONY N. HODGES,PROHIBITION,OTHER,0,302092,14226,4.709161447506058,0
1976,HI,gen,0,JAMES D. KIMMEL,INDEPENDENT,OTHER,0,302092,1433,0.47435880460257135,0
1976,HI,gen,0,ROCKNE JOHNSON,LIBERTARIAN,LIBERTARIAN,0,302092,1404,0.46475908001535954,0
1976,HI,gen,0,SPARK M. MATSUNAGA,DEMOCRAT,DEMOCRAT,0,302092,162305,53.72701031473856,1
1976,HI,gen,0,WILLIAM QUINN,REPUBLICAN,REPUBLICAN,0,302092,122724,40.62471035313745,0
1976,IN,gen,0,DAVID LEE HOAGLAND,U.S. LABOR,OTHER,0,2161187,2511,0.11618615140661127,0
1976,IN,gen,0,DON L. LEE,INDEPENDENT,OTHER,0,2161187,14321,0.6626451112282278,0
1976,IN,gen,0,RICHARD G. LUGAR,REPUBLICAN,REPUBLICAN,0,2161187,1275833,59.03390127739987,1
1976,IN,gen,0,VANCE HARTKE,DEMOCRAT,DEMOCRAT,0,2161187,868522,40.187267459965284,0
1976,ME,gen,0,EDMUND S. MUSKIE,DEMOCRAT,DEMOCRAT,0,486193,292704,60.203252617787584,1
1976,ME,gen,0,ROBERT A. G. MONKS,REPUBLICAN,REPUBLICAN,0,486193,193489,39.796747382212416,0
1976,MD,gen,0,BRUCE BRADLEY,INDEPENDENT,OTHER,0,1365290,62750,4.596093137721656,0
1976,MD,gen,0,"J. GLENN BEALL, JR.",REPUBLICAN,REPUBLICAN,0,1365290,530439,38.85174578294721,0
1976,MD,gen,0,PAUL S. SARBANES,DEMOCRAT,DEMOCRAT,0,1365290,772101,56.55216107933113,1
1976,MA,gen,0,CAROL HENDERSON EVANS,SOCIALIST WORKERS,OTHER,0,2491255,26283,1.0550104264717983,0
1976,MA,gen,0,EDWARD M. KENNEDY,DEMOCRAT,DEMOCRAT,0,2491255,1726657,69.30872190923851,1
1976,MA,gen,0,H. GRAHAM LOWRY,U.S. LABOR,OTHER,0,2491255,15517,0.6228587599422781,0
1976,MA,gen,0,MICHAEL S. ROBERTSON,REPUBLICAN,REPUBLICAN,0,2491255,722641,29.007106859795567,0
1976,MI,gen,0,BETTE JANE ERWIN,LIBERTARIAN,LIBERTARIAN,0,3490412,8842,0.25332253040615266,0
1976,MI,gen,0,"DONALD W. RIEGLE, JR.",DEMOCRAT,DEMOCRAT,0,3490412,1831031,52.458878779926266,1
1976,MI,gen,0,FRANK GIRARD,SOCIALIST LABOR,OTHER,0,3490412,2554,0.07317187770383553,0
1976,MI,gen,0,MARVIN L. ESCH,REPUBLICAN,REPUBLICAN,0,3490412,1635087,46.84510023458549,0
1976,MI,gen,0,PAULA L. REIMERS,SOCIALIST WORKERS,OTHER,0,3490412,3399,0.09738105415635748,0
1976,MI,gen,0,PETER A. SIGNORELLI,U.S. LABOR,OTHER,0,3490412,2218,0.06354550694874989,0
1976,MI,gen,0,THEODORE G. ALBERT,HUMAN RIGHTS,OTHER,0,3490412,7281,0.20860001627315056,0
1976,MN,gen,0,BILL PETERSON,SOCIALIST WORKERS,OTHER,0,1912020,9380,0.490580642461899,0
1976,MN,gen,0,HUBERT H. HUMPHREY,DEMOCRAT,DEMOCRAT,0,1912020,1290736,67.50640683674857,1
1976,MN,gen,0,JERRY BREKKE,REPUBLICAN,REPUBLICAN,0,1912020,478602,25.0312235227665,0
1976,MN,gen,0,MATT SAVOLA,COMMUNIST,OTHER,0,1912020,2214,0.11579376784761665,0
1976,MN,gen,0,PAUL HELM,AMERICAN,OTHER,0,1912020,125612,6.569596552337319,0
1976,MN,gen,0,ROBIN E. MILLER,LIBERTARIAN,LIBERTARIAN,0,1912020,5476,0.2863986778380979,0
1976,MS,gen,0,JOHN C. STENNIS,DEMOCRAT,DEMOCRAT,0,554433,554433,100,1
1976,MO,gen,0,JOHN C. DANFORTH,REPUBLICAN,REPUBLICAN,0,1914460,1090067,56.938614544048974,1
1976,MO,gen,0,LAWRENE (RED) PETTY,INDEPENDENT,OTHER,0,1914460,10822,0.5652768927008137,0
